name;year;mileage;fuel;capacity;gearbox;price;currency
Maserati GranCabrio 4.7 V8 Sport 338 kw / 460 pk;2019;11145 km;Petrol;4,691 cc;Automatic;89900,00;EUR
Land Rover Range Rover Evoque 2.0 TD4 SE Dynamic Panoramadak Tech Pack;2018;4170 km;Diesel;1,998 cc;Automatic;35500,00;EUR
"Land Rover Range Rover Sport 3.0 TDV6 HSE Dynamic Panoramadak 21 "" TFT scherm Navi ...";2017;7089 km;Diesel;2,993 cc;Automatic;65000,00;EUR
"Mercedes Benz GLE-klasse 300 d 4MATIC AMG 22 ""7 persoons";2019;3157 km;Diesel;1,950 cc;Automatic;72500,00;EUR
Mercedes Benz GLE-klasse 300 d 4MATIC AMG Panorama Night pakket Distronic Memory;2020;1890 km;Diesel;1,950 cc;Automatic;63900,00;EUR
Hyundai ix20 1.6i Go! (airco - navi - ml - LMV - radio/cd/mp3 - MF lederen stuur...;2015;71120 km;Petrol;1,591 cc;Manual;13900,00;EUR
Mercedes Benz C 180 Classic;-;140909 km;Petrol;1,998 cc;Manual;1250,00;EUR
Peugeot 208 1.2 VTi Allure 82 PK | Airco | Cruise control | Parkeersensoren | Bl...;2012;218057 km;Petrol;1,199 cc;Manual;4990,00;EUR
Mercedes Benz Sprinter 311 CDI Personenbus | Airco | nette staat | NAP;2007;201689 km;Diesel;2,148 cc;Manual;6450,00;EUR
Mercedes Benz A-klasse A 180 Business Solution AMG Automaat;2019;22084 km;Petrol;1,332 cc;Automatic;34650,00;EUR
Toyota Aygo 1.0 12V +;2007;193721 km;Petrol;998 cc;Manual;1600,00;EUR
Volkswagen lang 2.5 TDI REIMO WoMo Alkoven AHK SHZ;-;239630 km;Diesel;2,399 cc;Manual;9650,00;EUR
Mercedes Benz sprinter 311cdi 9 persoons met invalide lift;2007;400000 km;Diesel;2,148 cc;Automatic;6750,00;EUR
Renault Master 170dci L2H2 Automatik AHK 3500kg 6-Sitze;-;6700 km;Diesel;2,299 cc;Automatic;19750,00;EUR
Mercedes Benz A -Klasse A 140  Lang   TÜV Neu;-;105600 km;Petrol;1,397 cc;Manual;2690,00;EUR
Mercedes Benz Sprinter 308 CDI personenbus, rolstoel lift , wb 355;2003;271507 km;Diesel;2,148 cc;Manual;3250,00;EUR
Mercedes Benz V 250d / Avantgard / XL Leder / AHK 2,5t / SHZ;-;43910 km;Diesel;2,143 cc;Automatic;36983,00;EUR
Mercedes Benz Sprinter | Rolstoelbus | L2H2 | Lift | voorinstap;2007;316494 km;Diesel;2,148 cc;Manual;6250,00;EUR
Seat Ibiza Rijschool !!  5-Drs 1.2 TDI Ecomotive Style Airco;2012;217118 km;Diesel;1,199 cc;Manual;3300,00;EUR
Seat Ibiza 1.4-16V Signo airco ecc;2002;134956 km;Petrol;1,390 cc;Manual;1699,00;EUR
Mercedes Benz Sprinter 311 2.2 CDI 8-PERS.BUS 432 HD;2006;513775 km;Diesel;2,148 cc;Manual;4750,00;EUR
Toyota 30/11/2012;2012;130920 km;Diesel;2,231 cc;Manual;10500,00;EUR
Peugeot 308 1.6 VTi X-line airco;2008;98030 km;Petrol;1,598 cc;Manual;4750,00;EUR
Volkswagen Golf 1.4 TSI DSG Highline Navi,Massage,Pdc,Climat,Stoelverw NAP NL AUTO;2013;187286 km;Petrol;1,395 cc;Automatic;11950,00;EUR
Volkswagen Golf 1.8 TSI 118kw/160pk Climate control,Navigatie,Stoelverw,Pdc V+A,Enz;2009;271570 km;Petrol;1,798 cc;Manual;5950,00;EUR
Mercedes Benz SPRINTER 308 CDI;2000;196193 km;Diesel;2,148 cc;Manual;3500,00;EUR
Toyota Avensis Combi Edition 1.8Multidrive/Nav/AHK/Sitz;-;58000 km;Petrol;1,798 cc;Manual;10299,00;EUR
Mercedes Benz E-Klasse T-Modell E 250 CDI BlueEfficiency/Navi;-;183000 km;Diesel;2,143 cc;Manual;6896,00;EUR
Volkswagen Touran Freestyle/Navi/DSG/Klima/Sitzh/AHK;-;140715 km;Petrol;1,390 cc;Automatic;6499,00;EUR
Ford Galaxy 2,0 TDCi 103kW DPF Trend;-;198100 km;Diesel;1,997 cc;Manual;6500,00;EUR
Ford Galaxy 2,0 EcoBoost Titanium PowerShift / 7-Sitz;-;77000 km;Petrol;1,999 cc;Automatic;9999,00;EUR
Mercedes Benz SLK Roadster 280 V6 3,0 L Sportfahrwerk;2005;264000 km;Petrol;2,997 cc;Automatic;13804,00;EUR
