name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency
Mitsubishi Pajero;2004;191722 km;118 kW ;160 hp;Diesel;10.5 l/100 km ;284 g CO2/km ;Manual;4990,00;EUR
Peugeot 107;2013;18450 km;50 kW ;68 hp;Gasoline;4.3 l/100 km ;99 g CO2/km ;Manual;4990,00;EUR
Citroen C4 Picasso;2011;99633 km;88 kW ;120 hp;Gasoline;6.9 l/100 km ;159 g CO2/km ;Manual;4990,00;EUR
Dacia Sandero;2013;70109 km;55 kW ;75 hp;Gasoline;5.8 l/100 km ;135 g CO2/km ;Manual;4990,00;EUR
Ford Focus;2011;182523 km;70 kW ;95 hp;Diesel;4.2 l/100 km ;109 g CO2/km ;Manual;4990,00;EUR
Chevrolet Spark;2013;63176 km;50 kW ;68 hp;Gasoline;5 l/100 km ;118 g CO2/km ;Manual;4990,00;EUR
Volkswagen Touran;2009;238000 km;103 kW ;140 hp;Diesel;6.1 l/100 km ;161 g CO2/km ;Manual;4990,00;EUR
BMW 316;1994;118000 km;75 kW ;102 hp;Gasoline;7.7 l/100 km ;-/- (CO2/km);Manual;4990,00;EUR
Opel Zafira;2009;200000 km;110 kW ;150 hp;Diesel;7.2 l/100 km ;194 g CO2/km ;Automatic;4990,00;EUR
Ford Fiesta;2014;144937 km;60 kW ;82 hp;Gasoline;5.2 l/100 km ;123 g CO2/km ;Manual;4990,00;EUR
Renault Twingo;2012;98340 km;55 kW ;75 hp;Gasoline;4.5 l/100 km ;105 g CO2/km ;Manual;4990,00;EUR
BMW 520;2007;170000 km;110 kW ;150 hp;Diesel;6.9 l/100 km ;185 g CO2/km ;Automatic;4990,00;EUR
Skoda Fabia;2010;88350 km;51 kW ;69 hp;Gasoline;5.9 l/100 km ;140 g CO2/km ;Manual;4990,00;EUR
Mercedes-Benz C 230;2004;221600 km;141 kW ;192 hp;Gasoline;9.2 l/100 km ;221 g CO2/km ;Automatic;4990,00;EUR
Volkswagen Golf;2006;120500 km;59 kW ;80 hp;Gasoline;6.6 l/100 km ;156 g CO2/km ;Manual;4990,00;EUR
Volkswagen Golf;2009;62900 km;59 kW ;80 hp;Gasoline;6.4 l/100 km ;149 g CO2/km ;Manual;4990,00;EUR
Opel Corsa;2014;95600 km;51 kW ;69 hp;Gasoline;5.5 l/100 km ;130 g CO2/km ;Manual;4990,00;EUR
Toyota Yaris;2011;113000 km;51 kW ;69 hp;Gasoline;5.4 l/100 km ;127 g CO2/km ;Manual;4990,00;EUR
Mitsubishi Outlander;2006;171809 km;118 kW ;160 hp;Gasoline;9.8 l/100 km ;233 g CO2/km ;Manual;4990,00;EUR
Opel Astra;2010;101897 km;66 kW ;90 hp;Gasoline;6.3 l/100 km ;151 g CO2/km ;Manual;4990,00;EUR
Audi A4;2002;137499 km;96 kW ;131 hp;Gasoline;8.1 l/100 km ;194 g CO2/km ;Automatic;4990,00;EUR
Kia Ceed / cee'd;2010;67280 km;66 kW ;90 hp;Gasoline;5.8 l/100 km ;139 g CO2/km ;Manual;4990,00;EUR
BMW 330;2002;292000 km;170 kW ;231 hp;Gasoline;9.1 l/100 km ;218 g CO2/km ;Manual;4990,00;EUR
BMW 520;2008;234783 km;110 kW ;150 hp;Diesel;-/- (l/100 km);189 g CO2/km ;Automatic;4990,00;EUR
Nissan Micra;2007;133100 km;65 kW ;88 hp;Gasoline;6.6 l/100 km ;156 g CO2/km ;Manual;4990,00;EUR
Alfa Romeo 145;1998;43000 km;76 kW ;103 hp;Gasoline;-/- (l/100 km);0 g CO2/km ;Manual;4990,00;EUR
Mazda RX-8;2004;99455 km;141 kW ;192 hp;Gasoline;10.8 l/100 km ;267 g CO2/km ;Manual;4995,00;EUR
Audi A4;2003;199799 km;120 kW ;163 hp;Diesel;7.3 l/100 km ;197 g CO2/km ;Automatic;4998,00;EUR
Opel Insignia;2011;290000 km;118 kW ;160 hp;Diesel;5.6 l/100 km ;149 g CO2/km ;Automatic;4999,00;EUR
Daihatsu Terios;2006;74300 km;77 kW ;105 hp;Gasoline;7.9 l/100 km ;186 g CO2/km ;Manual;4999,00;EUR
Fiat Qubo;2016;167000 km;59 kW ;80 hp;Diesel;4.5 l/100 km ;118 g CO2/km ;Manual;4999,00;EUR
Skoda Octavia;2009;155000 km;75 kW ;102 hp;Gasoline;7.4 l/100 km ;176 g CO2/km ;Manual;4999,00;EUR
Volkswagen Touran;2006;144767 km;103 kW ;140 hp;Gasoline;7.5 l/100 km ;179 g CO2/km ;Automatic;4999,00;EUR
Citroen Grand C4 Picasso;2009;96000 km;80 kW ;109 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Automatic;4999,00;EUR
