name;year;mileage;nr_of_accidents;color_exterior;color_interior;price;currency
Mercedes-Benz GLS GLS 550 4MATIC;2017;38828 miles;0;white ; beige ;51995,00;USD
Lexus LS LS 460 RWD;2017;15244 miles;0;black ; gray ;46995,00;USD
Nissan Rogue S FWD;2011;133263 miles;0;gray ; black ;6499,00;USD
Nissan Altima 2.5 SR;2018;29119 miles;1;black ; black ;16099,00;USD
Honda Civic LX Sedan CVT;2018;39589 miles;0;black ; black ;15799,00;USD
Kia Soul Base Automatic;2016;41889 miles;0;black ; black ;9299,00;USD
Toyota Corolla LE CVT;2020;13233 miles;0;unknown ; unknown ;15500,00;USD
Nissan Altima 2.5 S;2015;60384 miles;2;gray ; black ;8259,00;USD
Kia Sportage LX FWD;2017;139210 miles;1;blue ; black ;8950,00;USD
Toyota Camry LE Automatic;2019;23165 miles;0;white ; black ;17948,00;USD
Honda Civic LX Sedan CVT;2017;31121 miles;0;white ; beige ;14712,00;USD
Nissan Rogue SV FWD;2019;35060 miles;0;black ; black ;16495,00;USD
Toyota Corolla LE CVT;2020;10350 miles;0;white ; gray ;15995,00;USD
Ford Fusion Hybrid SE FWD;2019;32352 miles;0;silver ; black ;14950,00;USD
Ford Fusion SEL FWD;2019;39154 miles;0;silver ; black ;13944,00;USD
Nissan Rogue SV AWD;2017;43164 miles;2;blue ; black ;13999,00;USD
Nissan Rogue Sport S FWD;2019;32504 miles;0;white ; black ;14393,00;USD
Toyota Camry Hybrid LE;2018;89961 miles;0;black ; unknown ;14998,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;27768 miles;0;white ; gray ;22790,00;USD
Toyota Camry LE Automatic;2019;33714 miles;0;white ; black ;15999,00;USD
Toyota Corolla LE CVT;2020;17410 miles;0;white ; black ;15668,00;USD
Toyota Corolla LE CVT;2020;17939 miles;0;black ; black ;14941,00;USD
Dodge Grand Caravan SXT;2019;45034 miles;0;black ; black ;15541,00;USD
Mercedes-Benz SL SL 500 Roadster;2005;19340 miles;0;black ; black ;22950,00;USD
Chevrolet Malibu LS;1997;167832 miles;0;white ; beige ;1500,00;USD
Nissan Sentra SV CVT;2018;31980 miles;1;red ; black ;9500,00;USD
Jeep Grand Cherokee Laredo 4WD;1999;170196 miles;0;black ; beige ;3985,00;USD
Dodge Grand Caravan SXT;2019;42607 miles;0;gray ; black ;17014,00;USD
Kia Forte LX Sedan Automatic;2017;111504 miles;0;gray ; gray ;6599,00;USD
