name,mark,year,mileage,engine_power_kW,engine_power_hp,fuel_type,consumption_(l/100 km),ecology_(gCO2/km),gearbox,price,currency,country,engine_size,nr_of_accidents,color_exterior,color_interior,price_eur
opel astra,opel,1999,178744.0,48.0,65.0,Gasoline,,,Manual,1699.0,EUR,Germany,0.0,,unknown,unknown,1699.0
ford fiesta,ford,2001,103000.0,44.0,60.0,Gasoline,7.5,175.0,Manual,1699.0,EUR,Germany,0.0,,unknown,unknown,1699.0
opel vectra,opel,2005,217500.0,110.0,150.0,Diesel,7.0,189.0,Automatic,1700.0,EUR,Germany,0.0,,unknown,unknown,1700.0
mercedes-benz e 200,mercedes,1999,303000.0,100.0,136.0,Gasoline,9.6,228.0,Automatic,1750.0,EUR,Germany,0.0,,unknown,unknown,1750.0
opel astra,opel,1999,198900.0,74.0,101.0,Gasoline,7.1,171.0,Automatic,1750.0,EUR,Germany,0.0,,unknown,unknown,1750.0
ford focus,ford,2009,250000.0,66.0,90.0,Diesel,4.5,119.0,Manual,1750.0,EUR,Germany,0.0,,unknown,unknown,1750.0
land rover range rover,rover,1998,436244.0,100.0,136.0,Diesel,10.3,,Manual,1790.0,EUR,Germany,0.0,,unknown,unknown,1790.0
peugeot 406,peugeot,1998,199000.0,97.0,132.0,LPG,,,Automatic,1799.0,EUR,Germany,0.0,,unknown,unknown,1799.0
renault laguna,renault,2001,219000.0,152.0,207.0,Gasoline,10.1,240.0,Manual,1800.0,EUR,Germany,0.0,,unknown,unknown,1800.0
opel astra,opel,2005,181248.0,74.0,101.0,Diesel,5.0,135.0,Manual,1840.0,EUR,Germany,0.0,,unknown,unknown,1840.0
toyota corolla verso,toyota,2006,258000.0,100.0,136.0,Diesel,6.4,170.0,Manual,1850.0,EUR,Germany,0.0,,unknown,unknown,1850.0
chevrolet matiz,chevrolet,2009,70000.0,38.0,52.0,Gasoline,5.2,127.0,Manual,1875.0,EUR,Germany,0.0,,unknown,unknown,1875.0
peugeot 307,peugeot,2003,207320.0,80.0,109.0,Gasoline,7.7,178.0,Manual,1890.0,EUR,Germany,0.0,,unknown,unknown,1890.0
ford ka/ka+,ford,2002,52000.0,44.0,60.0,Gasoline,6.8,165.0,Manual,1899.0,EUR,Germany,0.0,,unknown,unknown,1899.0
peugeot 207,peugeot,2009,209204.0,66.0,90.0,Diesel,,120.0,Manual,1900.0,EUR,Germany,0.0,,unknown,unknown,1900.0
smart fortwo,smart,2005,150000.0,30.0,41.0,Diesel,3.8,101.0,Automatic,1900.0,EUR,Germany,0.0,,unknown,unknown,1900.0
