name;year;mileage;capacity;fuel;other;price;currency
Doosan Dx140 2014 rok 14 ton 220 dx  Volvo ec 140 lub 160 Hyundai Robex 140 jcb 130 caterpillar;2014;0;0;;[];177000.0;PLN
Caterpillar 950K  G H M 20 Ton  2013rok , 966 938 Pe≥ne ko≥a Recykling 928 966 jak 972 962 lub 980 930;2013;0;0;;[];298000.0;PLN
Doosan DX225LC DX 225 LC  22 Tony  2014 rok ,Leasing 103 % dx 225 LC 255 Hyundai 220 235 HITACHI 210;2014;0;0;;[];257000.0;PLN
Terex TW130 LONG max 2008 tw 130 ATLAS NOWY SILNIK  1505 D≥ugie 1305 komatsu pw TW 150 110;2008;0;0;;[];169000.0;PLN
Komatsu PC 210LC 2014 rok PC210 LC  GWARANCJA volvo LC 210 220 lub 240 20 ton;2014;0;0;;[];299999.0;PLN
äkoda Octavia Laurin & Klement #LED #Panorama #2.0TDI 150KM;2015;211272 km;1980 cm33;Diesel;[];42500.0;PLN
Kia Pro_cee'd Niski przebieg! PiÍkna!;2013;75000 km;1582 cm33;Diesel;[];32999.0;PLN
MAN TGA 32.360 / 6x4 / Hydroburta / Manual  Stan bardzo dobry;2007;279000 km;0;;['TGA 32.360 / 6x4 / Hydroburta / Manual '];139600.0;PLN
BMW Seria 3 Sprzedam bmw 335xd;2013;81500 km;2993 cm33;Diesel;[];98000.0;PLN
Mercedes-Benz Klasa C C 180 Avangarde;2014;42410 km;1595 cm33;Petrol;[];72900.0;PLN
Carnehl;1997;0;0;;[];53500.0;PLN
äkoda Octavia II FL 2010/2011 r. 144 tys. km Salon PL;2010;144000 km;1197 cm33;Petrol;[];19500.0;PLN
Renault Scenic LIFT#rozrzπd wymieniony#nowe klocki#godny polecenia#bez wk≥adu;2006;199815 km;1598 cm33;Petrol+LPG;[];13900.0;PLN
Audi Q5 Audi Q5 salon Polska;2014;121000 km;2000 cm33;Diesel;[];89000.0;PLN
Fiat Ducato Maxi Furgon L4H3 2,3 140 KM 17 M3  Nowy Fiat Ducato Maxi Furgon L4H2 2.3 140 KM Doposaøony !;2020;1 km;2300 cm33;;['Ducato Maxi Furgon L4H3 2,3 140 KM 17 M3 '];78100.0;PLN
Fiat Ducato L3H2 2.3 140 KM  Nowy Fiat Ducato Furgon L3H2 2.3 140 KM Doposaøony !;2020;1 km;2300 cm33;;['Ducato L3H2 2.3 140 KM '];75900.0;PLN
Renault Laguna;2011;141000 km;1997 cm33;Petrol;[];29000.0;PLN
Volvo XC 60 2,4D/4x4/Ocean Race/Polestar220KM/PL/sprzedaø lub CESJA Leasingu;2016;192000 km;2400 cm33;Diesel;[];7217642.0;PLN
Fiat Ducato Maxi Furgon L4H2 2,3 140 KM  Nowy Fiat Ducato Maxi Furgon L4H2 2.3 140 KM Doposaøony !;2020;1 km;2300 cm33;;['Ducato Maxi Furgon L4H2 2,3 140 KM '];77900.0;PLN
CitroÎn Berlingo  G W A R A N C J A, doskona≥y.;2013;169000 km;0;;['Berlingo '];14670.0;PLN
Fiat Punto Evo G W A R A N C J A, Rejestracja 04.2011, NOWY ROZRZ•D.;2010;146000 km;1248 cm33;Diesel;[];12800.0;PLN
Audi A3 £ADNE, klima, Asystent parkowania, 2 komplety kÛ≥.;2010;206000 km;1598 cm33;Diesel;[];23800.0;PLN
Mazda 3 BN 2017r. 2.5 Grand Touring 18tys km Najbogatsza wersja Stan idealny;2017;18218 km;2500 cm33;Petrol;[];66999.0;PLN
Ford Focus wygodny, ekonomiczny, G W A R A N C J A.;2015;132000 km;999 cm33;Petrol;[];34850.0;PLN
Volvo EC 55;2011;0;0;;[];10400.0;PLN
Massey Ferguson 6475;2008;0;0;;[];13600.0;PLN
JCB 3CX Sitemaster 4x4;2010;0;0;;[];12500.0;PLN
Claas FAHR AGROTRON M620;2012;0;0;;[];17200.0;PLN
Takeuchi TB 235;2008;0;0;;[];9800.0;PLN
John Deere 7920;2005;0;0;;[];11600.0;PLN
Komatsu SK1020;2007;0;0;;[];7500.0;PLN
Caterpillar 262C;2011;0;0;;[];12000.0;PLN
JCB 3CX ECO;2010;0;0;;[];14500.0;PLN
Claas FAHR AGROTRON M620;2012;0;0;;[];17200.0;PLN
Claas FAHR AGROTRON M615;2011;0;0;;[];18400.0;PLN
Claas ARION 630 CEBIS;2013;0;0;;[];15400.0;PLN
Hyundai Robex 140W-7A;2007;0;0;;[];15600.0;PLN
Caterpillar M318C;2005;0;0;;[];13500.0;PLN
JCB 535-140;2014;0;0;;[];14500.0;PLN
John Deere 6170M;2014;0;0;;[];23000.0;PLN
Caterpillar 272C;2008;0;0;;[];9300.0;PLN
Manitou MLT 627 TURBO;2010;0;0;;[];12000.0;PLN
Bobcat E26 EM;2015;0;0;;[];9200.0;PLN
Claas AXION 830;2015;0;0;;[];30000.0;PLN
Claas FAHR AGROTRON M410;2012;0;0;;[];15800.0;PLN
JCB 531-70;2011;0;0;;[];13800.0;PLN
JCB 416HT;2007;0;0;;[];12600.0;PLN
John Deere 6930;2008;0;0;;[];16500.0;PLN
John Deere 7920;2006;0;0;;[];17000.0;PLN
Volvo ECR 88;2011;0;0;;[];12100.0;PLN
Case IH JXU 105;2009;0;0;;[];9300.0;PLN
Massey Ferguson 7626;2014;0;0;;[];21000.0;PLN
JCB 3CX Contractor Easycontrol;2013;0;0;;[];16400.0;PLN
Manitou MT 1337SLT;2000;0;0;;[];8000.0;PLN
Volvo L150E;2004;0;0;;[];14500.0;PLN
Kubota KX 61;2004;0;0;;[];7000.0;PLN
Caterpillar 320 BL;1998;0;0;;[];12100.0;PLN
McCormick X70.70;2013;0;0;;[];15200.0;PLN
Caterpillar 325BL;2000;0;0;;[];13200.0;PLN
Merlo P 38.13;2013;0;0;;[];14200.0;PLN
New Holland T7.185;2012;0;0;;[];19200.0;PLN
Volvo EC210CL;2010;0;0;;[];14500.0;PLN
Caterpillar IT38G;2006;0;0;;[];11500.0;PLN
Volvo EW 140 B;2005;0;0;;[];12800.0;PLN
Bobcat E 45;2014;0;0;;[];12200.0;PLN
JCB FASTRAC 2170 Plus;2007;0;0;;[];13800.0;PLN
Massey Ferguson 6290;2002;0;0;;[];10600.0;PLN
Volvo MC90B;2006;0;0;;[];6000.0;PLN
Fendt 712;2001;0;0;;[];10800.0;PLN
Bobcat S250;2010;0;0;;[];12600.0;PLN
Volvo L 90 E;2006;0;0;;[];14600.0;PLN
Bobcat S185;2008;0;0;;[];9200.0;PLN
New Holland TS 125 A;2004;0;0;;[];12200.0;PLN
Bobcat S250;2010;0;0;;[];12600.0;PLN
Bobcat 950K;2013;0;0;;[];28000.0;PLN
Hitachi ZX210LC-3;2007;0;0;;[];16500.0;PLN
Komatsu WB93R;2006;0;0;;[];10800.0;PLN
Bomag BW138AD-5;2013;0;0;;[];12300.0;PLN
JCB 531-70;2010;0;0;;[];11800.0;PLN
JCB 524-50;2009;0;0;;[];9000.0;PLN
Manitou MLT 523;2010;0;0;;[];12500.0;PLN
Volvo EW180C;2007;0;0;;[];13800.0;PLN
Komatsu PC350LC-8;2010;0;0;;[];16200.0;PLN
Caterpillar 312E;2012;0;0;;[];24000.0;PLN
JCB 515-40;2010;0;0;;[];7000.0;PLN
JCB 4CX;2007;0;0;;[];13200.0;PLN
Case IH MXU 135;2005;0;0;;[];12500.0;PLN
Atlas 160W;2012;0;0;;[];18200.0;PLN
Hitachi ZX130LCN;2016;0;0;;[];14000.0;PLN
Caterpillar 432E EVOLUTION;2009;0;0;;[];12800.0;PLN
Volvo BL70;2008;0;0;;[];14000.0;PLN
JCB 3CX CONTRACTOR;2007;0;0;;[];13790.0;PLN
Case IH JX95 4WD;2007;0;0;;[];9500.0;PLN
JCB 8045 ZTS;2007;0;0;;[];11200.0;PLN
Caterpillar 140H;2007;0;0;;[];16800.0;PLN
JCB 520-50;2007;0;0;;[];7800.0;PLN
Caterpillar 303.5CCR;2010;0;0;;[];12500.0;PLN
JCB 8055 RTS;2008;0;0;;[];10900.0;PLN
Terex TX760B;2007;0;0;;[];11700.0;PLN
Komatsu PC228USL;2007;0;0;;[];18500.0;PLN
Manitou MT1235S;2006;0;0;;[];10800.0;PLN
Hyundai Robex 145 LCR-9;2012;0;0;;[];15300.0;PLN
JCB 3 CX Eco;2011;0;0;;[];15400.0;PLN
New Holland TM 155;2003;0;0;;[];9200.0;PLN
Caterpillar 938G;1998;0;0;;[];16400.0;PLN
New Holland TS135A;2005;0;0;;[];11200.0;PLN
Hitachi ZX 170;2008;0;0;;[];16400.0;PLN
Massey Ferguson 5455;2008;0;0;;[];12800.0;PLN
JCB 2CX;2011;0;0;;[];12000.0;PLN
Case IH MAXXUM 125;2010;0;0;;[];14000.0;PLN
Caterpillar 308E2CR;2014;0;0;;[];18900.0;PLN
Fendt Favorit 515 C;2000;0;0;;[];9500.0;PLN
Caterpillar 257D;2016;0;0;;[];16500.0;PLN
Caterpillar 938G;1998;0;0;;[];16400.0;PLN
Hyundai ROBEX 55W-9;2012;0;0;;[];13500.0;PLN
Manitou MLT940-120H LSU;2011;0;0;;[];19000.0;PLN
Volvo ECR145DL;2013;0;0;;[];25000.0;PLN
Case IH FARMALL 105U;2009;0;0;;[];12600.0;PLN
Hamm GRW280-16;2010;0;0;;[];18500.0;PLN
Bobcat 425;2008;0;0;;[];9500.0;PLN
Massey Ferguson 5455;2007;0;0;;[];10600.0;PLN
Caterpillar 226 B;2005;0;0;;[];7800.0;PLN
Kobelco SK35SR-5;2009;0;0;;[];7200.0;PLN
Caterpillar 320C LU;2002;0;0;;[];14600.0;PLN
Caterpillar 906;2005;0;0;;[];9800.0;PLN
Kubota KX057-4;2014;0;0;;[];16400.0;PLN
JCB 409;2014;0;0;;[];13500.0;PLN
Komatsu PC78MR-6;2004;0;0;;[];9500.0;PLN
Komatsu PC80 MR-3;2010;0;0;;[];15000.0;PLN
Caterpillar 907H;2008;0;0;;[];13000.0;PLN
Kubota KX080;2014;0;0;;[];18500.0;PLN
Hitachi ZX30U-2;2008;0;0;;[];9900.0;PLN
Komatsu WA480-6;2011;0;0;;[];18000.0;PLN
Manitou 160ATJ;2007;0;0;;[];9000.0;PLN
Komatsu PC26MR-3;2012;0;0;;[];9300.0;PLN
Bomag BW174AD 4;2006;0;0;;[];10500.0;PLN
Bomag BW177D-4;2008;0;0;;[];18900.0;PLN
Honda FR-V 1.8 VTec 140KM Orygina≥ Bez KOROZJI! SERWIS! OKAZJA!!!;2007;217000 km;1799 cm33;Petrol;[];25500.0;PLN
Honda Civic Honda Civic VIII sedan;2007;441472 km;1799 cm33;Petrol;[];10000.0;PLN
Ford Kuga 1.5 EcoBoost, 182km 4WD Titanium Plus;2015;108600 km;1499 cm33;Petrol;[];69900.0;PLN
Mercedes-Benz Atego  Sprzedam SamochÛd Pomocy Drogowej Osobowe i Busy;2013;261570 km;7201 cm33;;['Atego '];220000.0;PLN
Audi A3 Sprzedam Audi A3 2.0TDI 11.2006.Auto bardzo zadbane;2006;301000 km;1968 cm33;Diesel;[];14900.0;PLN
BMW Seria 5 F11 525d xDrive TwinTurbo 218KM KeyLess. Navi Prof. Efficient Dynamics;2012;221000 km;1995 cm33;Diesel;[];58500.0;PLN
Audi RS7 Audi RS7 B&O Google Maps Dociπgi drzwi APR;2016;70000 km;3993 cm33;Petrol;[];249000.0;PLN
äkoda Superb Skoda Superb Salon Polska, 2,0 TDI 4X4, webasto;2015;154000 km;1968 cm33;Diesel;[];55000.0;PLN
Audi A5 Sportback S line 2.0 TFSI quattro 245 KM S tronic Dealer;2020;10 km;1984 cm33;Petrol;[];288297.0;PLN
Volvo C30 G W A R A N C J A, Niepospolite, P I   K N E, OszczÍdne;2012;108000 km;1560 cm33;Diesel;[];29800.0;PLN
BMW Seria 5 Bmw G31 520d Xdrive M Sport Touring 190km..2018R Alpine White;2018;72000 km;1995 cm33;Diesel;[];168500.0;PLN
