name;year;mileage;engine_size;fuel;other;price;currency
2013 Mercedes-Benz E-CLASS 2.1 E220 CDI AMG SPORT 4d 168 BHP Auto Saloon Diesel;2013;48,000 miles;2,143 cc;Diesel;['Seller typeTrade'];12000.0;GBP
2019 Honda NSX NSX 3.5h V6 E-DCT AWD Auto Coupe PETROL/ELECTRIC Automatic;2019;4,000 miles;3,493 cc;Petrol;['Seller typeTrade'];112990.0;GBP
2012 Mercedes-Benz E-CLASS 2.1 E220 CDI BLUEEFFICIENCY EXECUTIVE SE 4d 170 BHP S;2012;61,000 miles;2,143 cc;Diesel;['Seller typeTrade'];8500.0;GBP
2017 Mazda 3 2.0 Sport Nav Automatic Petrol Hatchback;2017;11,597 miles;2,000 cc;Petrol;['Seller typeTrade'];14000.0;GBP
2017 Mercedes-Benz E Class E 220 D AMG LINE Auto Estate Diesel Automatic;2017;31,605 miles;1,950 cc;Diesel;['Seller typeTrade'];20175.0;GBP
2015 BMW 2 Series BMW 2 series M235i Auto Coupe Petrol Automatic;2015;50,000 miles;2,997 cc;Petrol;['Seller typeTrade'];18990.0;GBP
2006 Porsche Cayenne 4.5 TURBO S 5d 520 BHP Auto Estate Petrol Automatic;2006;85,000 miles;4,511 cc;Petrol;['Seller typeTrade'];9975.0;GBP
2009 Ford Kuga 2.0 TDCi Titanium 5dr 4x4 - 77,000 miles ESTATE Diesel Manual;2009;77,000 miles;1,997 cc;Diesel;['Seller typeTrade'];5995.0;GBP
2015 BMW 4 Series 2.0 420I M SPORT 2d 181 BHP Coupe Petrol Manual;2015;32,303 miles;1,997 cc;Petrol;['Seller typeTrade'];16495.0;GBP
2014 Vauxhall Zafira 1.7 EXCLUSIV CDTI ECOFLEX 5d 108 BHP MPV Diesel Manual;2014;81,879 miles;1,686 cc;Diesel;['Seller typeTrade'];4495.0;GBP
2008 Land Rover Discovery 2.7 3 TDV6 HSE 5d 188 BHP Auto Estate Diesel Automatic;2008;111,049 miles;2,720 cc;Diesel;['Seller typeTrade'];7995.0;GBP
2012 12 PEUGEOT 3008 1.6 ALLURE E-HDI FAP 5D 112 BHP DIESEL;2012;59,928 miles;1,560 cc;Diesel;['Seller typeTrade'];5700.0;GBP
Volkswagen Golf GTI;2014;44,000 miles;1,984 cc;Petrol;['Seller typeTrade'];12890.0;GBP
2016 DS DS 3 1.2 PURETECH ELEGANCE S/S 3d 109 BHP Hatchback Petrol Manual;2016;13,771 miles;1,200 cc;Petrol;['Seller typeTrade'];8495.0;GBP
BMW X3 XDRIVE20D SE;2012;102,000 miles;1,995 cc;Diesel;['Seller typeTrade'];6930.0;GBP
2018 Nissan Juke 1.5 dCi N-Connecta 5-Door Hatchback Hatchback Diesel Manual;2018;11,619 miles;1,461 cc;Diesel;['Seller typeTrade'];11257.0;GBP
2013 Kia Sorento 2.2 CRDI KX-2 5d 194 BHP Estate Diesel Manual;2013;51,114 miles;2,199 cc;Diesel;['Seller typeTrade'];11500.0;GBP
2017 Ford Fiesta 1.6 ST-2 3d 180 BHP Hatchback Petrol Manual;2017;30,000 miles;1,596 cc;Petrol;['Seller typeTrade'];10990.0;GBP
2008 Ford Focus 1.6L STYLE 5d 100 BHP Hatchback Petrol Manual;2008;72,000 miles;1,596 cc;Petrol;['Seller typeTrade'];2500.0;GBP
2015 Mazda 6 SE-L Nav 2.2d Tourer Estate Diesel Manual;2015;88,200 miles;2,191 cc;Diesel;['Seller typeTrade'];7295.0;GBP
2010 Kia Ceed 1.6 CRDi 3 5dr ESTATE Diesel Manual;2010;88,500 miles;1,582 cc;Diesel;['Seller typeTrade'];1995.0;GBP
LATE 2007 NISSAN QASHQAI 2.0 2WD CVT VISIA 5 DOOR AUTOMATIC BLUE PX SWAP SWOP;2007;110,000 miles;1,997 cc;Petrol;['Seller typeTrade'];3250.0;GBP
2018 Ford Fiesta 1.0 EcoBoost Zetec 5dr Manual Petrol Hatchback;2018;5,940 miles;1,000 cc;Petrol;['Seller typeTrade'];12495.0;GBP
2018 Ford KA Plus 1.2 85 Zetec 5dr Manual Petrol Hatchback;2018;12,514 miles;1,200 cc;Petrol;['Seller typeTrade'];8500.0;GBP
2017 Ford Kuga 1.5 EcoBoost 182 Zetec Automatic Petrol Estate;2017;22,629 miles;1,500 cc;Petrol;['Seller typeTrade'];15000.0;GBP
2018 Aston Martin DB11 V8 2dr Touchtronic Automatic Petrol Coupe;2017;12,150 miles;4,000 cc;Petrol;['Seller typeTrade'];95900.0;GBP
2019 Jaguar E-PACE 2.0d (180) R-Dynamic S 5dr Automatic Diesel Estate;2020;1,950 miles;0 cc;Diesel;['Seller typeTrade'];40000.0;GBP
2017 Ford Mustang 5.0 V8 GT 2dr Automatic Petrol Coupe;2017;20,000 miles;5,000 cc;Petrol;['Seller typeTrade'];30000.0;GBP
2015 65 VAUXHALL CORSA 1.4 LIMITED EDITION 3D 89 BHP;2015;22,750 miles;1,398 cc;Petrol;['Seller typeTrade'];7050.0;GBP
2018 Dacia Sandero 1.0 SCe Ambiance 5dr Hatchback Petrol Manual;2018;22,672 miles;998 cc;Petrol;['Seller typeTrade'];6250.0;GBP
2014 Land Rover Range Rover 3.0 TDV6 AUTOBIOGRAPHY 5d 258 BHP All Terrain Diesel;2014;62,000 miles;2,993 cc;Diesel;['Seller typeTrade'];34750.0;GBP
2014 LAND ROVER DISCOVERY 4 3.0SDV6 255 XS AUTO...FULL HISTORY;2014;99,000 miles;2,993 cc;Diesel;['Seller typeTrade'];16995.0;GBP
Ford Galaxy 2.0TDCi ( 138bhp ) 2010.5MY Zetec 3 owner 82781 miles 7 seater;2010;82,781 miles;1,997 cc;Diesel;['Seller typeTrade'];4995.0;GBP
2017 FORD FOCUS ZETEC EDITION HATCHBACK PETROL;2017;21,693 miles;999 cc;Petrol;['Seller typeTrade'];10799.0;GBP
2020 Ford Fiesta 1.0T ECOBOOST ST-LINE X (S/S) 5DR | FROM 6.9% APR AVAILABLE O;2020;8,786 miles;1,000 cc;Petrol;['Seller typeTrade'];16349.0;GBP
2018 Renault Kadjar 1.5 dCi Dynamique Nav 5dr Hatchback Diesel Manual;2018;42,000 miles;1,461 cc;Diesel;['Seller typeTrade'];11500.0;GBP
2017 Renault Zoe ZOE DYN NAV QUICK CHRG ZE Auto Hatchback Electric Automatic;2017;23,445 miles;1 cc;Electric;['Seller typeTrade'];12250.0;GBP
Mercedes B220 4MATIC AMG LINE PREMIUM PLUS - PANORAMIC ROOF;2019;3,000 miles;1,991 cc;Petrol;['Seller typeTrade'];28490.0;GBP
2010 Ford KA 1.2 Edge 3dr HATCHBACK Petrol Manual;2010;50,000 miles;1,242 cc;Petrol;['Seller typeTrade'];2990.0;GBP
BMW Z3 1.9 140bhp 2DR MANUAL CONVERTIBLE ROADSTER WARRANTIED LOW MILEAGE FSH;1998;56,500 miles;1,895 cc;Petrol;['Seller typeTrade'];3950.0;GBP
2018 Renault Kadjar 1.5 Blue dCi S Edition 5dr Hatchback Diesel Manual;2018;6,609 miles;1,461 cc;Diesel;['Seller typeTrade'];18995.0;GBP
2019 Ford TOURNEO COURIER 1.0 EcoBoost Zetec EU6 5dr MPV Petrol Manual;2019;8,000 miles;999 cc;Petrol;['Seller typeTrade'];11950.0;GBP
2011 Volkswagen Touran 2.0 TDI Sport DSG 5dr (7 Seats) Auto MPV Diesel Automatic;2011;57,000 miles;1,968 cc;Diesel;['Seller typeTrade'];7950.0;GBP
2014 Ford B-MAX 1.6 TITANIUM 5d 104 BHP Auto MPV Petrol Automatic;2014;23,400 miles;1,596 cc;Petrol;['Seller typeTrade'];7495.0;GBP
12 MONTHS WARRANTY AND BREAKDOWN COVER **CAT S FULLY REPAIRED;2017;24,751 miles;998 cc;Petrol;['Seller typeTrade'];6499.0;GBP
2019 Peugeot 2008;2019;1,395 miles;1,199 cc;Petrol;['Seller typeTrade'];12495.0;GBP
Jaguar XF 3.0 V6 auto 2010 Luxury;2010;52,000 miles;2,968 cc;Petrol;['Seller typeTrade'];7995.0;GBP
Volvo C30 2.0 D R-Design Stunning Low Mileage R-Design with Full Service History;2010;63,943 miles;1,997 cc;Diesel;['Seller typeTrade'];4997.0;GBP
2017 Vauxhall Corsa;2017;9,625 miles;1,398 cc;Petrol;['Seller typeTrade'];9716.0;GBP
2008 Fiat Panda 1.2 Dynamic 5dr;2008;47,000 miles;1,242 cc;Petrol;['Seller typeTrade'];1995.0;GBP
2017 Peugeot 3008 SUV;2017;11,214 miles;1,997 cc;Diesel;['Seller typeTrade'];22795.0;GBP
2018 Land Rover Range Rover Sport 3.0 SD V6 HSE Dynamic Auto 4WD (s/s) 5dr;2018;14,300 miles;2,993 cc;Diesel;['Seller typeTrade'];53995.0;GBP
2015 Ford Kuga 2.0 TITANIUM X SPORT TDCI 5d 177 BHP Hatchback Diesel Manual;2015;61,411 miles;1,997 cc;Diesel;['Seller typeTrade'];11995.0;GBP
2018 Peugeot 3008 SUV;2018;20,082 miles;1,997 cc;Diesel;['Seller typeTrade'];23995.0;GBP
2017 Suzuki Vitara;2017;33,320 miles;1,586 cc;Petrol;['Seller typeTrade'];9595.0;GBP
2018 Peugeot 3008 SUV;2018;20,082 miles;1,997 cc;Diesel;['Seller typeTrade'];23995.0;GBP
2017 Suzuki Vitara;2017;33,320 miles;1,586 cc;Petrol;['Seller typeTrade'];9595.0;GBP
2018 Vauxhall Crossland X;2018;13,000 miles;1,199 cc;Petrol;['Seller typeTrade'];13000.0;GBP
2019 Vauxhall Mokka X;2019;9,105 miles;1,364 cc;Petrol;['Seller typeTrade'];14000.0;GBP
2019 Peugeot 308 SW;2019;9,674 miles;1,499 cc;Diesel;['Seller typeTrade'];13999.0;GBP
2018 Citroen C1;2018;22,987 miles;1,199 cc;Petrol;['Seller typeTrade'];7195.0;GBP
2017 Peugeot 3008 SUV;2017;13,994 miles;1,997 cc;Diesel;['Seller typeTrade'];21895.0;GBP
2019 Citroen C1;2019;13,769 miles;998 cc;Petrol;['Seller typeTrade'];8995.0;GBP
Volkswagen Golf R32 black manual 3 door 2006;2006;87,500 miles;3,189 cc;Petrol;[];7500.0;GBP
2020 Citroen C4 Cactus;2020;1,000 miles;1,499 cc;Diesel;['Seller typeTrade'];16500.0;GBP
