name,mark,year,mileage,engine_power,fuel,consumption,ecology,gearbox,country,engine_size,accidents,exterior,interior,price
ford fiesta,ford,2008,80000.0,0.20593368237347295,Gasoline,6.5,154.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2799.0
honda accord,honda,2006,239000.0,0.20593368237347295,Diesel,5.9,155.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2800.0
peugeot 207,peugeot,2007,122323.0,0.20593368237347295,Gasoline,6.3,150.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2800.0
citroen c2,citroen,2004,91000.0,0.20593368237347295,Gasoline,6.3,151.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,2850.0
ford focus,ford,2007,123500.0,0.20593368237347295,Gasoline,6.7,161.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2875.0
skoda octavia,skoda,2004,87800.0,0.20593368237347295,Gasoline,7.3,175.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2885.0
volkswagen polo,volkswagen,2007,99800.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2890.0
peugeot 206,peugeot,2009,105997.0,0.20593368237347295,Gasoline,5.7,135.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2890.0
citroen nemo,citroen,2012,155000.0,0.20593368237347295,Diesel,4.1,119.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2890.0
dacia logan,dacia,2010,137755.0,0.20593368237347295,Gasoline,7.8,185.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2890.0
dacia sandero,dacia,2011,180858.0,0.20593368237347295,Diesel,4.4,115.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2900.0
mercedes-benz e 240,mercedes,2003,173000.0,0.20593368237347295,Gasoline,10.9,262.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3299.0
honda civic,honda,2008,205681.0,0.20593368237347295,Gasoline,5.9,139.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3300.0
hyundai getz,hyundai,2008,110000.0,0.20593368237347295,Gasoline,5.5,130.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3329.0
ford fusion,ford,2007,148800.0,0.20593368237347295,Gasoline,6.6,157.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3366.0
bmw 525,bmw,2005,300000.0,0.20593368237347295,Diesel,9.5,230.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,3380.0
skoda fabia,skoda,2009,188818.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3390.0
toyota yaris,toyota,2002,72269.0,0.20593368237347295,Gasoline,6.6,157.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,3390.0
nissan pixo,nissan,2010,106202.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3399.0
fiat punto,fiat,2011,112850.0,0.20593368237347295,Gasoline,5.2,123.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3400.0
ford focus,ford,2007,111000.0,0.20593368237347295,Diesel,4.8,127.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3400.0
toyota aygo,toyota,2011,131724.0,0.20593368237347295,Gasoline,4.6,103.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3400.0
audi a4,audi,1998,70100.0,0.20593368237347295,Gasoline,10.0,240.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,3480.0
mercedes-benz e 320,mercedes,2005,334000.0,0.20593368237347295,Diesel,8.1,202.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,3490.0
volvo s40,volvo,2004,147703.0,0.20593368237347295,Diesel,5.6,148.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3490.0
mercedes-benz vario,mercedes,1999,507792.0,0.20593368237347295,Diesel,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3490.0
suzuki splash,suzuki,2010,100923.0,0.20593368237347295,Gasoline,5.5,131.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3490.0
kia carens,kia,2010,271085.0,0.20593368237347295,Diesel,6.3,166.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3490.0
opel astra,opel,2005,120000.0,0.20593368237347295,Gasoline,8.6,206.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,3490.0
bmw 316,bmw,2004,180000.0,0.20593368237347295,Gasoline,6.9,164.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3490.0
renault laguna,renault,2011,223000.0,0.20593368237347295,Diesel,5.3,139.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,3499.0
